identifier,subject_topical 1,subject_geographic 1,subject_geographic_authority 1,subject_geographic_URI 1,subject_name 1,subject_name_authority 1,subject_name_URI 1,subject_name 2,subject_name_authority 2,subject_name_URI 2,subject_name 3,subject_name_authority 3,subject_name_URI 3,object_in_context,type,date_text,date_single,date_end,date_qualifier,title,rights,repository,subject_geographic 2,collection,collection_identifier,record_source,file_url,record_creation_date
0012_003602_000281,multiple locations,University of Tennessee,,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2139,text,undated,,,,"Bass Field Notes, multiple locations, undated","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",multiple locations,Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000281/0012_003602_000281_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000263,48NO201,Agate Basin Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2127,text,1961,1961,,,"Bass Field Notes, 48NO201, 1961","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Agate Basin, Niobrara County, Wyoming",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000263/0012_003602_000263_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000236,"39SL4 (39HU2, 39HU48, 39PO1, 39PO27, 39SL38, 39ST202)","Sully Site (Oahe Village Site, Steamboat Creek Site, Fort George Site)",,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2102,text,1963,1963,,,"Bass Field Notes, 39SL4 (39HU2, 39HU48, 39PO1, 39PO27, 39SL38, 39ST202), 1963","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Oahe Reservoir, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000236/0012_003602_000236_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000225,"39CO9 (39WW2, 39WW1)","Leavenworth Village Site (Larson Site, Mobridge Site, Sully Site)",,,University of Tennessee,,,University of Kansas,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2091,text,"1965-1969, 1970-1975, 1981-1987, 1991",1965,1991,,"Bass Field Notes, 39CO9 (39WW2, 39WW1), 1965-1969, 1970-1975, 1981-1987, 1991","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",South Dakota,Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000225/0012_003602_000225_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000219,39CO9,Leavenworth Village Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2085,text,1965-1966,1965,1966,,"Bass Field Notes, 39CO9, 1965-1966","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Corson County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000219/0012_003602_000219_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000256,39WW2,Larson Site,,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2122,text,1967,1967,,,"Bass Field Notes, 39WW2, 1967","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Walworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000256/0012_003602_000256_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000241,39WW1,Mobridge Site,,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2107,text,1970,1970,,,"Bass Field Notes, 39WW1, 1970","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Nalworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000241/0012_003602_000241_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000231,39SL4,Sully Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2097,text,1958-1962,1958,1962,,"Bass Field Notes, 39SL4, 1958-1962","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Oahe Reservoir, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000231/0012_003602_000231_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000274,"24TL26 (32SN31, 32GG1, 32ME32, 25BF7, 25CU201, 25HW201, 25NC201, 14PO14, 39ST30, 39BF2B)","Galata Site (Cushing Dam Site, Tuttle Creek Site, Dodd Site)",,,U.S. National Museum Division of Physical Anthropology,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2138,text,"1956, 1958",1956,1958,,"Bass Field Notes, 24TL26 (32SN31, 32GG1, 32ME32, 25BF7, 25CU201, 25HW201, 25NC201, 14PO14, 39ST30, 39BF2B), 1956, 1958","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Toole County, Montana (Stutsman County, North Dakota, Griggs County, North Dakota, Mercer County, North Dakota, Buffalo County, Nebraska, Custer County, Nebraska, Howard County, Nebraska, Nance County, Nebraska, Pottawotomi County, Kansas, Oahe Reservoir, South Dakota, Buffalo County, South Dakota)",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000274/0012_003602_000274_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000217,39CO9,Leavenworth Village Site,,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2083,text,1965 (circa),1965,,approximate,"Bass Field Notes, 39CO9, 1965 (circa)","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Leavenworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000217/0012_003602_000217_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000268,"MBP:  39SL4 (39SL39, 39SL46)",Sully Site (Whistling Hawk Site),,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2132,text,1958 (summer),1958-22,,,"Bass Field Notes, MBP:  39SL4 (39SL39, 39SL46), 1958 (summer)","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Sully County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000268/0012_003602_000268_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000218,39CO9,Leavenworth Village Site,,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2084,text,1965 (circa),1965,,approximate,"Bass Field Notes, 39CO9, 1965 (circa)","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Leavenworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000218/0012_003602_000218_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000269,MBP:  39SL4,Sully Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2133,text,1959 (summer),1959-22,,,"Bass Field Notes, MBP:  39SL4, 1959 (summer)","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Sully County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000269/0012_003602_000269_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000238,39WW1,Mobridge Site,,,University of Kansas,,,Smithsonian Institution,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2104,text,1968-1969,1968,1969,,"Bass Field Notes, 39WW1, 1968-1969","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Nalworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000238/0012_003602_000238_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000210,39CA4,Rygh Site,,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2076,text,1970,1970,,,"Bass Field Notes, 39CA4, 1970","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Oahe Reservoir, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000210/0012_003602_000210_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000252,39WW2,Larson Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2118,text,1967,1967,,,"Bass Field Notes, 39WW2, 1967","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Walworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000252/0012_003602_000252_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000261,40MO10,,,,Tennessee Department of Transportation,,,University of Tennessee,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2125,text,1974,1974,,,"Bass Field Notes, 40MO10, 1974","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Wartburg, Morgan County, Tennessee",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000261/0012_003602_000261_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000228,39SL4,Sully Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2094,text,1958-1963,1958,1963,,"Bass Field Notes, 39SL4, 1958-1963","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Oahe Reservoir, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000228/0012_003602_000228_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000264,48NO201,Agate Basin Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2128,text,"1961, 1981",1961,1981,,"Bass Field Notes, 48NO201, 1961, 1981","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Agate Basin, Niobrara County, Wyoming",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000264/0012_003602_000264_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000242,39WW1,Mobridge Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2108,text,undated,,,,"Bass Field Notes, 39WW1, undated","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","South Dakota (Lawrence County, Alabama, Christian County, Kentucky)",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000242/0012_003602_000242_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000229,39SL4,Sully Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2095,text,1962,1962,,,"Bass Field Notes, 39SL4, 1962","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Oahe Reservoir, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000229/0012_003602_000229_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000273,MBP:  39CA4 (39CO9),Rygh Site (Leavenworth Village Site),,,University of Kansas,,,Smithsonian Institution,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2137,text,1965,1965,,,"Bass Field Notes, MBP:  39CA4 (39CO9), 1965","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",South Dakota,Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000273/0012_003602_000273_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000244,39WW1 (39CA4),Mobridge Site (Rygh Site),,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2110,text,1971,1971,,,"Bass Field Notes, 39WW1 (39CA4), 1971","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",South Dakota,Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000244/0012_003602_000244_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000208,39CA4,Rygh Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2074,text,1965-1966,1965,1966,,"Bass Field Notes, 39CA4, 1965-1966","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Oahe Reservoir, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000208/0012_003602_000208_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000211,"39CA4 (39CO31, 39CO32, 39DW236)",Rygh Site (Nordvold Site),,,University of Kansas,,,Smithsonian Institution,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2077,text,1969,1969,,,"Bass Field Notes, 39CA4 (39CO31, 39CO32, 39DW236), 1969","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Oahe Reservoir, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000211/0012_003602_000211_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000222,39CO9,Leavenworth Village Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2088,text,1965-1974,1965,1974,,"Bass Field Notes, 39CO9, 1965-1974","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Leavenworth County, South Dakota (Corson County, South Dakota)",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000222/0012_003602_000222_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000201,14LV330,Nester Site,,,Kansas State Historical Society,,,University of Kansas,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2067,text,1970,1970,,,"Bass Field Notes, 14LV330, 1970","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Leavenworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000201/0012_003602_000201_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000205,39CA4,Rygh Site,,,South Dakota Department of Education and Cultural Affairs,,,South Dakota State Archaeologist,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2071,text,1973,1973,,,"Bass Field Notes, 39CA4, 1973","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Oahe Reservoir, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000205/0012_003602_000205_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000265,"MBP:  39WW2 (39CO9, 39CA4)","Larson Site (Leavenworth Village Site, Rygh Site)",,,University of Kansas,,,Smithsonian Institution,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2129,text,1966 June,1966-06,,,"Bass Field Notes, MBP:  39WW2 (39CO9, 39CA4), 1966 June","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",South Dakota,Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000265/0012_003602_000265_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000233,39SL4,Sully Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2099,text,1963,1963,,,"Bass Field Notes, 39SL4, 1963","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Oahe Reservoir, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000233/0012_003602_000233_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000259,39WW2,Larson Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2124,text,1977 July,1977-07,,,"Bass Field Notes, 39WW2, 1977 July","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Larson Cemetery, Walworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000259/0012_003602_000259_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000253,39WW2,Larson Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2119,text,1967,1967,,,"Bass Field Notes, 39WW2, 1967","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Walworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000253/0012_003602_000253_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000249,39WW2,Larson Site,,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2115,text,1965-1966,1965,1966,,"Bass Field Notes, 39WW2, 1965-1966","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Larson Cemetery, Walworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000249/0012_003602_000249_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000271,MBP:  39SL4,Sully Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2135,text,1962 (summer),1962-22,,,"Bass Field Notes, MBP:  39SL4, 1962 (summer)","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Sully County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000271/0012_003602_000271_0001.jpg.t.jpg,2015-01-08T02:57:30Z
