identifier,subject_topical 1,subject_topical 2,subject_topical 3,subject_topical 4,subject_topical 5,subject_topical 6,subject_topical 7,subject_topical 8,subject_topical 9,subject_topical 10,subject_topical 11,subject_topical 12,subject_topical 13,subject_topical 14,subject_topical 15,subject_topical 16,subject_geographic 1,subject_geographic 2,subject_geographic 3,subject_geographic 4,subject_geographic 5,subject_geographic 6,subject_geographic 7,subject_geographic 8,subject_geographic 9,subject_geographic 10,subject_geographic 11,subject_geographic 12,subject_geographic 13,subject_geographic 14,subject_geographic 15,subject_geographic 16,subject_geographic 17,subject_geographic 18,subject_geographic 19,object_in_context,item_type,form,date_text,date_single_start,date_end,date_qualifier,public_note 1,public_note 2,title,name 1,name 2,name 3,name 4,name 5,name 6,relatedItem_constituent_title,relatedItem_constituent_name,relatedItem_constituent_title 2,relatedItem_constituent_name 2,relatedItem_constituent_title 3,relatedItem_constituent_name 3,relatedItem_constituent_title 4,relatedItem_constituent_name 4,relatedItem_constituent_title 5,relatedItem_constituent_name 5,relatedItem_constituent_title 6,relatedItem_constituent_name 6,relatedItem_constituent_title 7,relatedItem_constituent_name 7,relatedItem_constituent_title 8,relatedItem_constituent_name 8,relatedItem_constituent_title 9,relatedItem_constituent_name 9,relatedItem_constituent_title 10,relatedItem_constituent_name 10,"relatedItem_constituent_title 11
",relatedItem_constituent_name 11,relatedItem_constituent_title 12,relatedItem_constituent_name 12,relatedItem_constituent_title 13,relatedItem_constituent_name 13,relatedItem_constituent_title 14,relatedItem_constituent_name 14,relatedItem_constituent_title 15,relatedItem_constituent_name 15,relatedItem_constituent_title 16,relatedItem_constituent_name 16,relatedItem_constituent_title 17,relatedItem_constituent_name 17,relatedItem_constituent_title 18,relatedItem_constituent_name 18,relatedItem_constituent_title 19,relatedItem_constituent_name 19,relatedItem_constituent_title 20,relatedItem_constituent_name 20,relatedItem_constituent_title 21,relatedItem_constituent_name 21,relatedItem_constituent_title 22,relatedItem_constituent_name 22,relatedItem_constituent_title 23,relatedItem_constituent_name 23,relatedItem_constituent_title 24,relatedItem_constituent_name 24,relatedItem_constituent_title 25,relatedItem_constituent_name 25,relatedItem_constituent_title 26,relatedItem_constituent_name 26,abstract,rights,repository,collection,collection_identifier,record_source
0012_003602_000281,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2139,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,undated,1839,2011,inferred,Dates inferred from archival collection dates.,,"Bass Field Notes, multiple locations, undated","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",University of Kansas | URI: http://id.loc.gov/authorities/names/n79021954 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Several forms--Age classification form ; Sex classification form ; Epigenetic traits ; Dental inventory and pathology,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000263,48NO201,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,Agate Basin Site (Wyo.) | URI: http://id.loc.gov/authorities/subjects/sh85002054,,,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2127,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1961,1961,,,,,"Bass Field Notes, 48NO201, 1961","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",Smithsonian Institution | URI: http://id.loc.gov/authorities/names/n79053968 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,"Drs. Roberts , Agate Basin, Wyoming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Site notes from work done on the Agate Basin Site in 1961,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000236,39SL4,39HU2,39HU48,39PO1,39PO27,39SL38,39ST202,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,Oahe Reservoir Site (S.D. and N.D.),"Sharpe, Lake (S.D.) | URI: http://id.loc.gov/authorities/subjects/sh87001964 | Coordinates: 44.14797, -99.92882","Oahe, Lake (S.D. and N.D.) | URI: http://id.loc.gov/authorities/subjects/sh89003127 | Coordinates: 44.45109, -100.40236",,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2102,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1963,1963,,,,,"Bass Field Notes, 39SL4 (39HU2, 39HU48, 39PO1, 39PO27, 39SL38, 39ST202), 1963","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",Smithsonian Institution | URI: http://id.loc.gov/authorities/names/n79053968 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,Smithsonian Institution Missouri Basin project,"Whitford, Leona | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A letter along with a collection of mounted prints from the Oahe Reservoir and Big Bend Reservoir projects,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000225,39CO9,39WW2,39WW1,Arikara Indians | http://id.loc.gov/authorities/subjects/sh85007149,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,Leavenworth Site (S.D.),Larson Site (S.D.),Mobridge Site (S.D.),Sully Site (S.D.),Anton Rygh Site (S.D.) | URI: http://id.loc.gov/authorities/subjects/sh92002409,"Corson County (S.D.) | URI: http://id.loc.gov/authorities/names/n81119166 | Coordinates: 45.7086, -101.19687","Walworth County (S.D.) | URI: http://id.loc.gov/authorities/names/n81110754 | Coordinates: 45.42995, -100.03156","Walworth County (S.D.) | URI: http://id.loc.gov/authorities/names/n81110754 | Coordinates: 45.42995, -100.03156","Sully County (S.D.) | URI: http://id.loc.gov/authorities/names/n81110752 | Coordinates: 44.71558, -100.1322",,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2091,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,"1965-1969, 1970-1975, 1981-1987, 1991",1965,1991,,"Includes preliminary report on the 1970 summer field season, National Science Foundation Grant no. GS2717 along with a preliminary report on 1968 summer field season National Geographic Society Grant.",,"Bass Field Notes, 39CO9 (39WW2, 39WW1), 1965-1969, 1970-1975, 1981-1987, 1991","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",University of Kansas. Department of Anthropology | URI: http://id.loc.gov/authorities/names/no90006392 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,National Geographic Society (U.S.). Committee for Research and Exploration | URI: http://id.loc.gov/authorities/names/n82038189 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,"University of Tennessee, Knoxville. Department of Anthropology | URI: http://id.loc.gov/authorities/names/n82115739 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",,,"Excavations in the burial areas at the Potts (39CO19) and Mobridge (39WW1) sites, South Dakota","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",Abstract--Change and variation in skeletal populations of Arikara Indians,"Jantz, Richard L. | URI: http://id.loc.gov/authorities/names/n89639305 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",Abstract--A multivariate statistical analysis of Arikara crania from the Northern Plains,"Lyon, William S., Ph. D. | URI: http://id.loc.gov/authorities/names/n88283338 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre || Carmichael, Leonard | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",,,"Excavation of protohistoric Arikara skeletal material from the Larson Site, 39WW2 Walworth County, South Dakota","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","Excavation of protohistoric human skeletal material in northern South Dakota, pts. 1-4","Ubelaker, Douglas H. | URI: http://id.loc.gov/authorities/names/n80037691 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",Improving accessibility and conditions for preservation of the human osteological collection,"Konigsberg, Lyle W. | URI: http://id.loc.gov/authorities/names/n2005009457 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection of field notes, reports and letters pertaining to National Science Foundation and National Geographic Society grants","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000219,39CO9,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,Leavenworth Site (S.D.),"Corson County (S.D.) | URI: http://id.loc.gov/authorities/names/n81119166 | Coordinates: 45.7086, -101.19687",,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2085,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1965-1966,1965,1966,,,,"Bass Field Notes, 39CO9, 1965-1966","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",Smithsonian Institution | URI: http://id.loc.gov/authorities/names/n79053968 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,Smithsonian Institution River Basin Surveys Burial Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Notes and diagrams of burial sites along with field diary.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000256,39WW2,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,Larson Site (S.D.),"Walworth County (S.D.) | URI: http://id.loc.gov/authorities/names/n81110754 | Coordinates: 45.42995, -100.03156",,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2122,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1967,1967-06-11,1967-08-03,,"There were two separate journals, not sure which one Ubelaker wrote.",,"Bass Field Notes, 39WW2, 1967","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",University of Kansas. Department of Anthropology | URI: http://id.loc.gov/authorities/names/no90006392 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,"Field notes and record of activities for summer of 1967 at Mobridge, South Dakota, excavating the Larson Site 39WW2","Ubelaker, Douglas H. | URI: http://id.loc.gov/authorities/names/n80037691 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Handwritten field notes/diary from June 14-August 3, 1967.","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000241,39WW1,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,Potts Village Site (S.D.),"Corson County (S.D.) | URI: http://id.loc.gov/authorities/names/n81119166 | Coordinates: 45.7086, -101.19687",,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2107,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1970,1970-06-11,1970-08-04,,"Two separate handwritten journals, not sure of author.",,"Bass Field Notes, 39WW1, 1970","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",University of Kansas. Department of Anthropology | URI: http://id.loc.gov/authorities/names/no90006392 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,Official journal of the 1970 University of Kansas anthropological field party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handwritten journal of the 1970 University of Kansas anthropological field party,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000231,39SL4,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,Sully Site (S.D.),"Sully County (S.D.) | URI: http://id.loc.gov/authorities/names/n81110752 | Coordinates: 44.71558, -100.1322",,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2097,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1958-1962,1958,1962,,,,"Bass Field Notes, 39SL4, 1958-1962","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",River Basin Surveys | URI: http://id.loc.gov/authorities/names/n50057228 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,"Smithsonian Institution River Basin Surveys, Missouri River Basin Project Specimen catalog","Stewart, Evelyn | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Specimen catalog from 1958-1962 for the Sully Site (39SL4) along with a letter from Evelyn Smith about the filing system to be used,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000274,24TL26,32SN31,32GG1,32ME32,25BF7,25CU201,25HW201,25NC201,39BF2B,14PO14,39ST30,,,,,,Galata Site,Cushing Dam Site,Tuttle Creek Site,Dodd Site,"Toole County (Mont.) | URI: http://id.loc.gov/authorities/names/n82097431 | Coordinates: 48.6553, -111.6957","Stutsman County (N.D.) | URI: http://id.loc.gov/authorities/names/n81140588 | Coordinates: 46.97925, -98.95883","Griggs County (N.D.) | URI: http://id.loc.gov/authorities/names/n82104482 | Coordinates: 47.45729, -98.23704","Mercer County (N.D.) | URI: http://id.loc.gov/authorities/names/n81140581 | Coordinates: 47.30922, -101.83153","Buffalo County (Neb.) | URI: http://id.loc.gov/authorities/names/n81018559 | Coordinates: 40.85515, -99.07497","Custer County (Neb.) | URI: http://id.loc.gov/authorities/names/n82128014 | Coordinates: 41.39426, -99.72614","Howard County (Neb.) | URI: http://id.loc.gov/authorities/names/n79060778 | Coordinates: 41.22004, -98.51709","Nance County (Neb.) | URI: http://id.loc.gov/authorities/names/n82096170 | Coordinates: 41.3973, -97.99225","Pottawatomie County (Kan.) | URI: http://id.loc.gov/authorities/names/n82020671 | Coordinates: 39.37901, -96.34244","Stanley County (S.D.) | URI: http://id.loc.gov/authorities/names/n84180333 | Coordinates: 44.41232, -100.73594","Buffalo County (S.D.) | URI: http://id.loc.gov/authorities/names/n81117700 | Coordinates: 44.07635, -99.20496",,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2138,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,"1956, 1958",1956,1958,,,,"Bass Field Notes, 24TL26 (32SN31, 32GG1, 32ME32, 25BF7, 25CU201, 25HW201, 25NC201, 14PO14, 39ST30, 39BF2B), 1956, 1958","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",United States National Museum. Department of Anthropology | URI: http://id.loc.gov/authorities/names/n79066272 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,River Basin Surveys | URI: http://id.loc.gov/authorities/names/n50057228 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,Location of material sent to the Division of Physical Anthropology by the River Basin Surveys,"Roberts, Frank H. H. (Frank Harold Hanna), 1897-1966 | URI: http://id.loc.gov/authorities/names/n83136078 | Role: Addressee | Role URI: http://id.loc.gov/vocabulary/relators/rcp","Preliminary report on an Indian calverium from the Medicine Crow Site, 39BF28, Buffalo County South Dakota","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Several memos from Dr. Bass to Frank H. H. Roberts dealing with skeletal material sent to the Division of Physical Anthropology.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000217,39CO9,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,Leavenworth Village Site (S.D.),Leavenworth County (S.D.),,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2083,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1965 (circa),1965,,approximate,There were no first names included on list.,,"Bass Field Notes, 39CO9, 1965 (circa)","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht",University of Kansas. Department of Anthropology | URI: http://id.loc.gov/authorities/names/no90006392 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,University of Kansas Department of Anthropology and Museum of Natural History Archaeological photographic record,Evans | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Record of photographs made at the Leavenworth Village Site,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000268,MBP:  39SL4,39SL39,39SL46,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,Sully Site (S.D.),Whistling Hawk Site,"Sully County (S.D.) | URI: http://id.loc.gov/authorities/names/n81110752 | Coordinates: 44.71558, -100.1322",,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2132,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1958 (summer),1958-22,,,Several memos from different field parties to Chief Robert L. Stephenson.,,"Bass Field Notes, MBP:  39SL4 (39SL39, 39SL46), 1958 (summer)","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",River Basin Surveys | URI: http://id.loc.gov/authorities/names/n50057228 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,MBP Weekly progress reports Summer - 1958,,Missouri Basin project field memoranda 1958,,"Missouri Basin Project river basin surveys Smithsonian Institution Field plans for the 1958 season revised as of June 20, 1958",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weekly progress reports for the Missouri River Basin Project,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000218,39CO9,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,Leavenworth Site (S.D.),"Corson County (S.D.) | URI: http://id.loc.gov/authorities/names/n81119166 | Coordinates: 45.7086, -101.19687",,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2084,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1965 (circa),1965,,approximate,,,"Bass Field Notes, 39CO9, 1965 (circa)","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",University of Kansas. Department of Anthropology | URI: http://id.loc.gov/authorities/names/no90006392 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,"Sheet no.113 Missouri River Gavins Point near Yankton, South Dakota to Stanton, North Dakota",,"East burial area of the Leavenworth Site, 39CO9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Map of the Leavenworth Site,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000269,MBP:  39SL4,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,Sully Site (S.D.),"Sully County (S.D.) | URI: http://id.loc.gov/authorities/names/n81110752 | Coordinates: 44.71558, -100.1322",,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2133,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1959 (summer),1959-22,,,Several memos from different field parties to Chief Robert L. Stephenson.,,"Bass Field Notes, MBP:  39SL4, 1959 (summer)","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",River Basin Surveys | URI: http://id.loc.gov/authorities/names/n50057228 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,MBP Weekly progress reports Summer - 1959,,"Archaeological progress report no.4 Field season of 1959 November 2, 1959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weekly progress reports for the Missouri River Basin Project,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000238,39WW1,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,Mobridge Site (S.D.),"Walworth County (S.D.) | URI: http://id.loc.gov/authorities/names/n81110754 | Coordinates: 45.42995, -100.03156",,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2104,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1968-1969,1968,1969,,,,"Bass Field Notes, 39WW1, 1968-1969","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",University of Kansas. Department of Anthropology | URI: http://id.loc.gov/authorities/names/no90006392 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,Museum of Natural History (U.S.) | URI: http://id.loc.gov/authorities/names/n78083390 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,University of Kansas Department of Anthropology and Museum of Natural History Burial record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burial records and diagrams from the Mobridge site.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000210,39CA4,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,Anton Rygh Site (S.D.) | URI: http://id.loc.gov/authorities/subjects/sh92002409,"Campbell County (S.D.) | URI: http://id.loc.gov/authorities/names/n80113085 | Coordinates: 45.77113, -100.05163",,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2076,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1970,1970,,,,,"Bass Field Notes, 39CA4, 1970","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",University of Kansas | URI: http://id.loc.gov/authorities/names/n79021954 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,"Field notes of 39CA4, F401 1970",,University of Kansas Laboratory of Physical Anthropology Burial Record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Field notes and diagrams of 39CA4, F401 1970","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
